racer_id,racer_name,race_count,win_count,top2_count,top3_count,win_rate,top2_rate,top3_rate,avg_start_timing,last_race_date
3809,吉田,35,0,5,14,0.000000,0.142857,0.400000,,2026-05-02
3811,石田,97,22,50,61,0.226804,0.515464,0.628866,,2026-04-28
3812,山崎,60,6,11,27,0.100000,0.183333,0.450000,,2026-05-01
3813,佐藤,93,23,45,63,0.247312,0.483871,0.677419,,2026-04-28
3814,金子,65,7,20,28,0.107692,0.307692,0.430769,,2026-04-24
3820,樫葉,56,1,5,10,0.017857,0.089286,0.178571,,2026-05-01
3822,平尾,57,8,20,32,0.140351,0.350877,0.561404,,2026-04-26
3825,宮嵜,40,2,4,6,0.050000,0.100000,0.150000,,2026-04-13
3826,村田,70,12,32,50,0.171429,0.457143,0.714286,,2026-04-28
3827,今泉,70,4,11,23,0.057143,0.157143,0.328571,,2026-05-02
3828,明石,66,9,21,31,0.136364,0.318182,0.469697,,2026-04-28
3831,安藤,70,6,24,33,0.085714,0.342857,0.471429,,2026-04-25
3832,下田,7,0,0,0,0.000000,0.000000,0.000000,,2026-04-28
3833,中辻,107,23,46,70,0.214953,0.429907,0.654206,,2026-04-28
3834,細川,67,5,10,13,0.074627,0.149254,0.194030,,2026-04-24
3837,秋山,74,17,30,46,0.229730,0.405405,0.621622,,2026-04-28
3838,伊藤,55,7,22,30,0.127273,0.400000,0.545455,,2026-04-20
3839,川合,69,0,8,21,0.000000,0.115942,0.304348,,2026-05-02
3841,佐々木,68,10,25,39,0.147059,0.367647,0.573529,,2026-04-29
3842,星野,53,8,12,21,0.150943,0.226415,0.396226,,2026-04-22
3843,上之,77,9,20,33,0.116883,0.259740,0.428571,,2026-04-28
3845,中谷,63,12,21,37,0.190476,0.333333,0.587302,,2026-04-27
3848,川上,91,8,30,40,0.087912,0.329670,0.439560,,2026-04-23
3849,中岡,74,29,41,48,0.391892,0.554054,0.648649,,2026-03-29
3850,小川,72,12,21,35,0.166667,0.291667,0.486111,,2026-04-28
3851,森田,31,0,1,2,0.000000,0.032258,0.064516,,2026-03-05
3852,大介,40,2,5,9,0.050000,0.125000,0.225000,,2026-04-18
3853,岩崎,68,15,30,43,0.220588,0.441176,0.632353,,2026-05-01
3854,吉川,55,11,19,29,0.200000,0.345455,0.527273,,2026-04-08
3857,阿波,73,9,18,26,0.123288,0.246575,0.356164,,2026-04-28
3859,多羅尾,50,7,16,22,0.140000,0.320000,0.440000,,2026-05-01
3860,松本,65,2,12,19,0.030769,0.184615,0.292308,,2026-04-23
3863,海老澤,53,4,11,27,0.075472,0.207547,0.509434,,2026-04-25
